title,id,activity,creation,status
codecs.StreamReader doesn't work with nonblocking streams: TypeError: can't concat bytes to NoneType,24560,2015-07-04.15:20:04,2015-07-03.15:12:04,1
C extension naming doesn't take bitness into account,22980,2015-07-04.09:04:07,2014-12-02.14:35:25,1
OS X installer provides flat sub-packages with no version numbers,24502,2015-07-04.08:56:35,2015-06-24.19:12:01,1
doc: termios and ioctl reference links,8519,2015-07-04.07:55:30,2010-04-24.16:09:49,1
"tkinter:  ""alloc: invalid block:"" after askopenfilename",22810,2015-07-04.02:49:41,2014-11-06.23:24:06,1
Implementation of IMAP IDLE in imaplib?,11245,2015-07-04.01:08:46,2011-02-18.20:36:10,1
please document that no code preceding encoding declaration is allowed,24531,2015-07-03.23:40:36,2015-06-29.15:42:25,1
Stop using deprecated floating-point environment functions on FreeBSD,24520,2015-07-03.17:38:57,2015-06-27.15:08:22,1
json.dumps should accept key function for ``sort_keys``,24518,2015-07-03.17:36:04,2015-06-26.22:59:43,1
Python logic error when deal with re and muti-threading,24555,2015-07-03.17:20:29,2015-07-03.06:20:15,1
Refactor LibreSSL / EGD detection,24557,2015-07-03.12:41:12,2015-07-03.12:32:31,1
GC should happen when a subinterpreter is destroyed,24554,2015-07-03.11:35:07,2015-07-03.00:41:17,1
Multiple use after frees in obj2ast_* methods,24098,2015-07-03.07:46:07,2015-05-01.14:10:29,1
Use after free in xmlparser_setevents (2),24104,2015-07-03.07:45:54,2015-05-01.14:15:42,1
Use after free in xmlparser_setevents (1),24103,2015-07-03.07:45:44,2015-05-01.14:15:15,1
urllib2 ignores opener configuration under certain circumstances,23166,2015-07-03.04:37:58,2015-01-04.21:13:56,1
Expose C level compiler flag constants to Python code,24468,2015-07-03.00:56:21,2015-06-19.04:47:33,1
Multiple interpreters and readline module hook functions.,4202,2015-07-03.00:32:42,2008-10-25.02:52:43,1
atexit_callfuncs() crashing within Py_Finalize() when using multiple interpreters.,6531,2015-07-03.00:32:22,2009-07-21.11:19:28,1
Support subinterpreters in the GIL state API,15751,2015-07-03.00:31:46,2012-08-21.05:18:00,1
Make the PyGILState API compatible with multiple interpreters,10915,2015-07-03.00:31:14,2011-01-15.14:52:39,1
setUpClass equivalent for addCleanup,24412,2015-07-02.15:21:57,2015-06-08.18:31:39,1
maxint on 64 bit platforms breaks os.read,24550,2015-07-02.05:27:49,2015-07-02.05:27:49,1
"string.format() should have a safe_substitute equivalent, to be run consecutively",24549,2015-07-02.02:31:02,2015-07-01.20:42:29,1
On Windows sys.stdin.readline() doesn't handle Ctrl-C properly,18597,2015-07-02.01:57:01,2013-07-30.09:13:12,1
multiprocessing: MapResult shouldn't fail fast upon exception,23992,2015-07-01.19:23:49,2015-04-18.09:00:21,1
